framework,scenario,run,total_energy_uJ,total_energy_J,total_energy_kWh,core_energy_uJ,core_energy_J,core_energy_kWh,uncore_energy_uJ,uncore_energy_J,uncore_energy_kWh,duration_s,avg_power_W,co2_emissions_g,co2_emissions_kg,samples
svelte,medium,1,442426734.0,442.426734,0.000122896315,404449816.0,404.449816,0.0001123471711111111,1901765.0,1.901765,5.282680555555555e-07,59.05660080909729,7.491571271265023,0.07767047108000001,7.767047108000001e-05,30
svelte,medium,2,417603664.0,417.603664,0.00011600101777777777,379932133.0,379.932133,0.00010553670361111112,1761395.0,1.761395,4.892763888888889e-07,59.01169681549072,7.07662525457797,0.07331264323555556,7.331264323555556e-05,30
svelte,medium,3,428626686.0,428.626686,0.00011906296833333334,390554575.0,390.554575,0.00010848738194444445,2055759.0,2.055759,5.710441666666667e-07,58.96861386299133,7.26872581736241,0.07524779598666667,7.524779598666667e-05,30
svelte,medium,4,431703190.0,431.70319,0.00011991755277777779,393691266.0,393.691266,0.00010935868499999999,1878022.0,1.878022,5.216727777777778e-07,59.15403771400452,7.297949669761862,0.07578789335555557,7.578789335555557e-05,30
svelte,medium,5,438139407.0,438.139407,0.00012170539083333334,400008613.0,400.008613,0.00011111350361111112,2284040.0,2.28404,6.344555555555556e-07,59.032670736312866,7.421981786273589,0.07691780700666667,7.691780700666667e-05,30
svelte,complex,1,789980699.0,789.980699,0.00021943908305555555,726510261.0,726.510261,0.00020180840583333335,2428244.0,2.428244,6.745122222222222e-07,97.98829364776611,8.06199056633955,0.1386855004911111,0.0001386855004911111,49
svelte,complex,2,793231554.0,793.231554,0.0002203420983333333,729648585.0,729.648585,0.0002026801625,2448454.0,2.448454,6.80126111111111e-07,97.99166059494019,8.09488837299037,0.13925620614666664,0.00013925620614666664,49
svelte,complex,3,801029084.0,801.029084,0.0002225080788888889,737192088.0,737.192088,0.00020477558,2565688.0,2.565688,7.126911111111112e-07,98.13006162643433,8.162932650031255,0.14062510585777777,0.00014062510585777777,49
svelte,complex,4,797184977.0,797.184977,0.0002214402713888889,732192514.0,732.192514,0.00020338680944444442,2515300.0,2.5153,6.986944444444444e-07,99.82519817352295,7.985809110183571,0.1399502515177778,0.00013995025151777778,50
svelte,complex,5,871072757.0,871.072757,0.00024196465472222224,805055058.0,805.055058,0.000223626405,3416258.0,3.416258,9.489605555555556e-07,99.91833209991455,8.717847252784006,0.15292166178444447,0.00015292166178444447,50
vue,simple,1,75343332.0,75.343332,2.0928703333333333e-05,63551252.0,63.551252,1.7653125555555555e-05,721970.0,0.72197,2.0054722222222223e-07,18.28278422355652,4.120998808426761,0.013226940506666666,1.3226940506666667e-05,10
vue,simple,2,80129334.0,80.129334,2.2258148333333334e-05,68111161.0,68.111161,1.891976694444444e-05,935424.0,0.935424,2.5984000000000003e-07,18.281158924102783,4.3831648930283915,0.014067149746666667,1.4067149746666667e-05,10
vue,simple,3,82030277.0,82.030277,2.2786188055555555e-05,70099689.0,70.099689,1.9472135833333333e-05,932861.0,0.932861,2.5912805555555557e-07,18.318970918655396,4.477886741796356,0.014400870851111112,1.4400870851111112e-05,10
vue,simple,4,81202062.0,81.202062,2.2556128333333332e-05,69046039.0,69.046039,1.9179455277777776e-05,998399.0,0.998399,2.7733305555555554e-07,18.31483507156372,4.433676944548481,0.014255473106666666,1.4255473106666666e-05,10
